12	A Configurable Approach for Object Sharing Among Multidatabase Systems	1995	CIKM	Jian Yang,Mike P. Papazoglou
13	Performance Analysis of Affinity Clustering on Transaction Processing Coupling Architecture	1994	IEEE Trans. Knowl. Data Eng.	Philip S. Yu,Asit Dan
14	Interval Timed Coloured Petri Nets and their Analysis	1993	Application and Theory of Petri Nets	Wil M. P. van der Aalst
15	The Design and Implementation of K: A High-Level Knowledge-Base Programming Language of OSAM*.KBMS	1996	VLDB J.	Yuh-Ming Shyy,Javier Arroyo,Stanley Y. W. Su,Herman Lam
16	Unraveling the Web Services Web: An Introduction to SOAP, WSDL, and UDDI	2002	IEEE Internet Computing	Francisco Curbera,Matthew J. Duftler,Rania Khalaf,William Nagy,Nirmal Mukhi,Sanjiva Weerawarana
17	Analysis of the Generalized Clock Buffer Replacement Scheme for Database Transaction Processing	1992	SIGMETRICS	Victor F. Nicola,Asit Dan,Daniel M. Dias
18	Performance Analysis of Coherency Control Policies through Lock Retention	1992	SIGMOD Conference	Asit Dan,Philip S. Yu
19	Web Service Composition Languages: Old Wine in New Bottles?	2003	EUROMICRO	Wil M. P. van der Aalst,Marlon Dumas,Arthur H. M. ter Hofstede
20	A Simple Analysis of the LRU Buffer Policy and Its Relationship to Buffer Warm-Up Transient	1993	ICDE	Anupam Bhide,Asit Dan,Daniel M. Dias
21	**DIR**-XML2 - Unambiguous access to XML-based business documents in B2B e-commerce	2001	ACM Conference on Electronic Commerce	Christian Huemer
22	Facilitating the Rapid Development and Scalable Orchestration of Composite Web Services	2005	Distributed and Parallel Databases	Boualem Benatallah,Marlon Dumas,Quan Z. Sheng
23	Association Algebra: A Mathematical Foundation for Object-Oriented Databases	1993	IEEE Trans. Knowl. Data Eng.	Stanley Y. W. Su,Mingsen Guo,Herman Lam
24	ADEPTflex-Supporting Dynamic Changes of Workflows Without Losing Control	1998	J. Intell. Inf. Syst.	Manfred Reichert,Peter Dadam
25	Parallel Handling of Integrity Constraints on Fragmented Relations	1990	DPDS	Paul W. P. J. Grefen,Peter M. G. Apers
26	Analytical Modeling of a Hierarchical Buffer for a Data Sharing Environment	1991	SIGMETRICS	Asit Dan,Daniel M. Dias,Philip S. Yu
27	Several Structures for Protecting the Routes of Mobile Agents Dispatched in Parallel	2002	DEXA Workshops	Yan Wang,Kian-Lee Tan,Xiaolin Pang
28	Implementing a General Real-Time Scheduling Framework in the RED-Linux Real-Time Kernel	1999	IEEE Real-Time Systems Symposium	Yu-Chung Wang,Kwei-Jay Lin
29	Concurrency Control and Recovery in Transactional Process Management	1999	PODS	Heiko Schuldt,Gustavo Alonso,Hans-Jorg Schek
30	Processes Driving the Networked Economy	1999	IEEE Concurrency	Amit P. Sheth,Wil M. P. van der Aalst,Ismailcem Budak Arpinar
31	Object-Oriented Design of a Flexible Workflow Management System	1998	ADBIS	Mathias Weske
32	From Inter-organizational Workflows to Process Execution: Generating BPEL from WS-CDL	2005	OTM Workshops	Jan Mendling,Michael Hafner
33	The Effect of Skewed Data Access on Buffer Hits and Data Contention an a Data Sharing Environment	1990	VLDB	Asit Dan,Daniel M. Dias,Philip S. Yu
34	Evaluation of Correctness Criteria for Dynamic Workflow Changes	2003	Business Process Management	Stefanie Rinderle,Manfred Reichert,Peter Dadam
35	Mining Process Models from Workflow Logs	1998	EDBT	Rakesh Agrawal,Dimitrios Gunopulos,Frank Leymann
36	Dealing with Version Pertinence to Design an Efficient Schema Evolution Framework	1998	IDEAS	Boualem Benatallah,Zahir Tari
37	Automated Service Composition Using Heuristic Search	2006	Business Process Management	Harald Meyer,Mathias Weske
38	CapBasED-AMS - A Framework for Capability-Based and Event-Driven Activity Management System	1995	CoopIS	Kamalakar Karlapalem,Helen P. Yeung,Patrick C. K. Hung
39	Automatic Deployment of Application-Specific Metadata and Code in MOCHA	2000	EDBT	Manuel Rodriguez-Martinez,Nick Roussopoulos
40	Discovering Social Networks from Event Logs	2005	Computer Supported Cooperative Work	Wil M. P. van der Aalst,Hajo A. Reijers,Minseok Song
41	Conceptual Model of Web Service Reputation	2002	SIGMOD Record	E. Michael Maximilien,Munindar P. Singh
42	A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches	1996	SIGMOD Conference	Richard Hull,Gang Zhou
43	Service Agents and Virtual Enterprises: A Survey	2003	IEEE Internet Computing	Charles J. Petrie,Christoph Bussler
44	OSAM*KBMS: An Object-Oriented Knowledge Base Management System for Supporting Advanced Applications	1993	SIGMOD Conference	Stanley Y. W. Su,Herman Lam,Srinivasa Eddula,Javier Arroyo,Neeta Prasad,Ronghao Zhuang
45	Buffer Analysis for a Data Sharing Environment with Skewed Data Access	1994	IEEE Trans. Knowl. Data Eng.	Asit Dan,Daniel M. Dias,Philip S. Yu
46	A Formal Approach to Reusing More General Components	1994	KBSE	Jun-Jang Jeng,Betty H. C. Cheng
47	Integrity Control in Relational Database Systems - An Overview	1993	Data Knowl. Eng.	Paul W. P. J. Grefen,Peter M. G. Apers
48	Building A Robust Workflow Management System With Persistent Queues and Stored Procedures	1998	ICDE	Frank Leymann,Dieter Roller
49	Dispatching Multiple Mobile Agents in Parallel for Visiting E-Shops	2002	Mobile Data Management	Yan Wang
50	IEEE Internet Computing: Spotlight - Unraveling the Web Services Web: An Introduction to SOAP, WSDL, and UDDI	2002	IEEE Distributed Systems Online	Francisco Curbera,Matthew J. Duftler,Rania Khalaf,William Nagy,Nirmal Mukhi,Sanjiva Weerawarana
51	Formalizing Service Interactions	2006	Business Process Management	Gero Decker,Frank Puhlmann,Mathias Weske
52	Building Internet Marketplaces on the Basis of Mobile Agents for Parallel Processing	2002	Mobile Data Management	Yan Wang,Jian Ren
53	The Distributed Interoperable Object Model and Its Application to Large-scale Interoperable Database Systems	1995	CIKM	Ling Liu,Calton Pu
54	Managing Business Processes an an Information Resource	1994	IBM Systems Journal	Frank Leymann,Wolfgang Altenhuber
55	Service Interaction Patterns	2006	PLAN-X	John Evdemon
56	Large Multidatabases: Beyond Federation and Global Schema Integration	1994	Australasian Database Conference	Athman Bouguettaya
57	An Extended Query Reformulation Technique Using Materialized Views	1998	DEXA Workshop	Jae-young Chang,Sang-goo Lee
58	Guest Editors' Introduction to the Special Issue on Heterogeneous Databases	1990	ACM Comput. Surv.	Ahmed K. Elmagarmid,Calton Pu
59	An Extensible Knowledge Base Management System for Supporting Rule-based Interoperability among Heterogeneous Systems	1995	CIKM	Stanley Y. W. Su,Herman Lam,Javier A. Arroyo-Figueroa,Tsae-Feng Yu,Zhidong Yang
60	Building Flexible Real-Time Systems Using the Flex Language	1991	IEEE Computer	Kevin B. Kenny,Kwei-Jay Lin
61	An Approximate Analysis of the LRU and FIFO Buffer Replacement Schemes	1990	SIGMETRICS	Asit Dan,Donald F. Towsley
62	Using the pi-Calculus for Formalizing Workflow Patterns	2005	Business Process Management	Frank Puhlmann,Mathias Weske
63	A Scalable Architecture for Autonomous Heterogeneous Database Interactions	1995	VLDB	Steven Milliner,Athman Bouguettaya,Mike P. Papazoglou
64	Handling Temporal Grouping and Pattern-Matching Queries in a Temporal Object Model	1998	CIKM	Marlon Dumas,Marie-Christine Fauvet,Pierre-Claude Scholl
65	Verification of Forbidden Behavior in EPCs	2006	Modellierung	Carlo Simon,Jan Mendling
66	A Framework for Designing Materialized Views in Data Warehousing Environment	1997	ICDCS	Jian Yang,Kamalakar Karlapalem,Qing Li
67	Mining Social Networks: Uncovering Interaction Patterns in Business Processes	2004	Business Process Management	Wil M. P. van der Aalst,Minseok Song
68	On Dealing with Structural Conflicts between Process Type and Instance Changes	2004	Business Process Management	Stefanie Rinderle,Manfred Reichert,Peter Dadam
69	Reusing Analogous Components	1997	IEEE Trans. Knowl. Data Eng.	Betty H. C. Cheng,Jun-Jang Jeng
70	Performance Modelling and Comparisons of Global Shared Buffer Management Policies in a Cluster Environment	1994	IEEE Trans. Computers	Asit Dan,Philip S. Yu,Daniel M. Dias
71	An Association Algebra For Processing Object-Oriented Databases	1991	ICDE	Mingsen Guo,Stanley Y. W. Su,Herman Lam
72	Workflow Verification: Finding Control-Flow Errors Using Petri-Net-Based Techniques	2000	Business Process Management	Wil M. P. van der Aalst
73	The design and implementation of real-time schedulers in RED-linux	2003	Proceedings of the IEEE	Kwei-Jay Lin,Yu-Chung Wang
74	Ontological Approach for Information Discovery in Internet Databases	2000	Distributed and Parallel Databases	Mourad Ouzzani,Boualem Benatallah,Athman Bouguettaya
75	NCL: A Common Language for Achieving Rule-Based Interoperability Among Heterogeneous Systems	1996	J. Intell. Inf. Syst.	Stanley Y. W. Su,Herman Lam,Tsae-Feng Yu,Javier A. Arroyo-Figueroa,Zhidong Yang,Sooha Lee
76	Challenges in Business Process Management: Verification of Business Processing Using Petri Nets	2003	Bulletin of the EATCS	Wil M. P. van der Aalst
77	The Web Service Modeling Framework WSMF	2002	Electronic Commerce Research and Applications	Dieter Fensel,Christoph Bussler
78	Knowledge-Based Schema Analysis in a Multi-Database	1991	DEXA	Jian Yang,Mike P. Papazoglou,Louis Marinos
79	Transforming UMM Business Collaboration Models to BPEL	2004	OTM Workshops	Birgit Hofreiter,Christian Huemer
80	Mining Workflow Recovery from Event Based Logs	2005	Business Process Management	Walid Gaaloul,Claude Godart
81	The Application of Petri Nets to Workflow Management	1998	Journal of Circuits, Systems, and Computers	Wil M. P. van der Aalst
82	Performance Evaluation of Integrity Control in a Parallel Main-Memory Database System	1992	DEXA	Paul W. P. J. Grefen,Jan Flokstra,Peter M. G. Apers
83	Supporting Business Transactions Via Partial Backward Recovery In Workflow Management Systems	1995	BTW	Frank Leymann
84	Effect of System Dynamics on Coupling Architectures for Transaction Processing	1992	ICDE	Philip S. Yu,Asit Dan
85	Combining Theory and Practice in Integrity Control: A Declarative Approach to the Specification of a Transaction Modification Subsystem	1993	VLDB	Paul W. P. J. Grefen
86	An Object Flow Computer for Database Applications: Design and Performance Evaluation	1993	J. Parallel Distrib. Comput.	Chiang Lee,Herman Lam,Stanley Y. W. Su
87	Determining Schema Interdependencies in Object-Oriented Multidatabase Systems	1993	DASFAA	Jian Yang,Mike P. Papazoglou
88	Business Process Management: A Survey	2003	Business Process Management	Wil M. P. van der Aalst,Arthur H. M. ter Hofstede,Mathias Weske
89	Inter-operability of Workflow Applications: Local Criteria for Global Soundness	2000	Business Process Management	Ekkart Kindler,Axel Martens,Wolfgang Reisig
90	Issues in the Design of Multi-Server File Systems to Cope with Load Skew	1993	PDIS	Dinkar Sitaram,Asit Dan,Philip S. Yu
91	A Rule-based Language for Deductive Object-Oriented Databases	1990	ICDE	A. M. Alashqur,Stanley Y. W. Su,Herman Lam
92	Modeling Business Collaborations in Context	2003	OTM Workshops	Birgit Hofreiter,Christian Huemer
93	Transaktionsunterstutzung fur Workflows	1997	Inform., Forsch. Entwickl.	Frank Leymann
94	Algorithms for Materialized View Design in Data Warehousing Environment	1997	VLDB	Jian Yang,Kamalakar Karlapalem,Qing Li
95	A Conceptual Architecture for Semantic Web Enabled Web Services	2002	SIGMOD Record	Christoph Bussler,Dieter Fensel,Alexander Maedche
96	CapBasED-AMS: A Capability-based and Event-driven Activity Management System	1996	SIGMOD Conference	Patrick C. K. Hung,Helen P. Yeung,Kamalakar Karlapalem
97	Flexible Composition of Enterprise Web Services	2003	Electronic Markets	Liangzhao Zeng,Boualem Benatallah,Hui Lei,Anne H. H. Ngu,David Flaxer,Henry Chang
98	MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources	2000	SIGMOD Conference	Manuel Rodriguez-Martinez,Nick Roussopoulos
99	Tackling the Challenges of Materialized View Design in Data Warehousing Environment	1997	RIDE	Jian Yang,Kamalakar Karlapalem,Qing Li
100	An optimal pinwheel scheduler using the single-number reduction technique	1996	IEEE Real-Time Systems Symposium	Chih-wen Hsueh,Kwei-Jay Lin
101	Characterization of Database Access Skew in a Transaction Processing Environment	1992	SIGMETRICS	Asit Dan,Philip S. Yu,Jen-Yao Chung
102	Flexible Support of Team Processes by Adaptive Workflow Systems	2004	Distributed and Parallel Databases	Stefanie Rinderle,Manfred Reichert,Peter Dadam
103	An Extensible Kernel Object Management System	1991	OOPSLA	Rahim Yaseen,Stanley Y. W. Su,Herman Lam
104	Recovery Analysis of Data Sharing Systems under Deferred Dirty Page Propagation Policies	1997	IEEE Trans. Parallel Distrib. Syst.	Asit Dan,Philip S. Yu,Anant Jhingran
105	The Self-Serv Environment for Web Services Composition	2003	IEEE Internet Computing	Boualem Benatallah,Quan Z. Sheng,Marlon Dumas
106	Query Reformulation Using Materialized Views in Data Warehousing Environment	1998	DOLAP	Jae-young Chang,Sang-goo Lee
107	Updates and Application Migration Support in an ODMG Temporal Extension	1999	ER (Workshops)	Marlon Dumas,Marie-Christine Fauvet,Pierre-Claude Scholl
108	An Online Video Placement Policy based on Bandwith to Space Ratio (BSR)	1995	SIGMOD Conference	Asit Dan,Dinkar Sitaram
109	Database Access Characterization for Buffer Hit Prediction	1993	ICDE	Asit Dan,Philip S. Yu,Jen-Yao Chung
110	Materialized View Evolution Support in Data Warehouse Environment	1999	DASFAA	Chuan Zhang,Jian Yang
111	Ant Colony Optimization and Stochastic Gradient Descent	2002	Artificial Life	Nicolas Meuleau,Marco Dorigo
112	Uncertainty measures associated with fuzzy rules for connection admission control in ATM Networks	1998	Applications of Uncertainty Formalisms	Maria Fernanda N. Ramalho
113	Classifiers: A Theoretical and Empirical Study	1991	IJCAI	Wray L. Buntine
114	Constructor: A System for the Induction of Probabilistic Models	1990	AAAI	Robert M. Fung,Stuart L. Crawford
115	Probabilistic Horn Abduction and Bayesian Networks	1993	Artif. Intell.	David Poole
116	Combining Configurational and Statistical Approaches in Image Retrieval	2001	IEEE Pacific Rim Conference on Multimedia	Huizhen Yu,W. Eric L. Grimson
117	Resample and combine: an approach to improving uncertainty representation in evidential pattern classification	2003	Information Fusion	Jeremie Francois,Yves Grandvalet,Thierry Denoeux,Jean-Michel Roger
118	Database Mining in the Architecture of a Semantic Preprocessor for State Aware Query Optimization	1994	KDD Workshop	Sarabjot S. Anand,David A. Bell,John G. Hughes
119	Presentation and description of two classification methods using data fusion based on sensor management	2001	Information Fusion	S. Fabre,Alain Appriou,X. Briottet
120	Operations for Learning with Graphical Models	1994	J. Artif. Intell. Res. (JAIR)	Wray L. Buntine
121	A Hybrid Framework for Representing Uncertain Knowledge	1990	AAAI	Alessandro Saffiotti
122	A Probabilistic Object-Oriented Data Model	1994	Data Knowl. Eng.	Yoram Kornatzky,Solomon Eyal Shimony
123	The Computational Complexity of Probabilistic Inference Using Bayesian Belief Networks	1990	Artif. Intell.	Gregory F. Cooper
124	Epistemic Entrenchment and Possibilistic Logic	1991	Artif. Intell.	Didier Dubois,Henri Prade
125	Decision Analysis and Expert Systems	1991	AI Magazine	Max Henrion,John S. Breese,Eric Horvitz
126	A Bayesian Method for Learning Belief Networks that Contain Hidden Variables	1995	J. Intell. Inf. Syst.	Gregory F. Cooper
127	Forecasting market demand for new telecommunications services: an introduction	2002	Telematics and Informatics	Peter McBurney,Simon Parsons,Jeremy Green
128	Model-based diagnosis: A probabilistic extension	1998	Applications of Uncertainty Formalisms	Ahmed Y. Tawfik,Eric Neufeld
129	An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System	1994	VLDB	Sarabjot S. Anand,David A. Bell,John G. Hughes
130	Modeling Individual and Collaborative Problem Solving in Medical Problem-Based Learning	2005	User Modeling	Siriwan Suebnukarn,Peter Haddawy
131	Value-Added Databases: Knowledge Discovery and Evidential Reasoning (Invited Paper)	1994	ADBIS	David A. Bell
132	Using Probabilistic Information in Data Integration	1997	VLDB	Daniela Florescu,Daphne Koller,Alon Y. Levy
133	Graphical Models for Discivering Knowledge	1996	Advances in Knowledge Discovery and Data Mining	Wray L. Buntine
134	Bayesian network multi-classifiers for protein secondary structure prediction	2004	Artificial Intelligence in Medicine	Victor Robles,Pedro Larranaga,Jose Manuel Pena,Ernestina Menasalvas Ruiz,Maria S. Perez,Vanessa Herves,Anita Wasilewska
135	A Hybrid Model for Sharing Information Between Fuzzy, Uncertain and Default Reasoning Models in Multi-agent Systems	2002	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Xudong Luo,Chengqi Zhang,Nicholas R. Jennings
136	A review of uncertainty handling formalisms	1998	Applications of Uncertainty Formalisms	Simon Parsons,Anthony Hunter
137	A declarative approach to business rules in contracts: courteous logic programs in XML	1999	ACM Conference on Electronic Commerce	Benjamin N. Grosof,Yannis Labrou,Hoi Y. Chan
138	LSLNCF: A Hybrid Uncertain Reasoning Model Based on Probability	1998	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Xudong Luo,Chengqi Zhang
139	Representing e-commerce rules via situated courteous logic programs in RuleML	2004	Electronic Commerce Research and Applications	Benjamin N. Grosof
140	A dynamic pari-mutuel market for hedging, wagering, and information aggregation	2004	ACM Conference on Electronic Commerce	David M. Pennock
141	Bayesian networks in biomedicine and health-care	2004	Artificial Intelligence in Medicine	Peter J. F. Lucas,Linda C. van der Gaag,Ameen Abu-Hanna
142	Learning Bayesian networks for clustering by means of constructive induction	1999	Pattern Recognition Letters	Jose Manuel Pena,Jose Antonio Lozano,Pedro Larranaga
143	AkBA: a progressive, anonymous-price combinatorial auction	2000	ACM Conference on Electronic Commerce	Peter R. Wurman,Michael P. Wellman
144	Towards Possibilistic Logic Programming	1991	ICLP	Didier Dubois,Jerome Lang,Henri Prade
145	Possibilistic Normalisation and Reasoning Under Partial Inconsistency	2001	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Jonathan Lawry
146	Using Bayesian networks in the construction of a bi-level multi-classifier. A case study using intensive care unit patients data	2001	Artificial Intelligence in Medicine	Basilio Sierra,Nicolas Serrano,Pedro Larranaga,Eliseo J. Plasencia,Inaki Inza,Juan Jose Jimenez,Pedro Revuelta,Maria Luisa Mora
147	Nash Q-Learning for General-Sum Stochastic Games	2003	Journal of Machine Learning Research	Junling Hu,Michael P. Wellman
148	A Guide to the Literature on Learning Probabilistic Networks from Data	1996	IEEE Trans. Knowl. Data Eng.	Wray L. Buntine
149	P-CLASSIC: A Tractable Probablistic Description Logic	1997	AAAI/IAAI	Daphne Koller,Alon Y. Levy,Avi Pfeffer
150	New Measure of Classifier Dependency in Multiple Classifier Systems	2002	Multiple Classifier Systems	Dymitr Ruta,Bogdan Gabrys
151	Multidimensional scaling of interval-valued dissimilarity data	2000	Pattern Recognition Letters	Thierry Denoeux,Marie-Helene Masson
152	On the Use of the Dempster Shafer Model in Information Indexing and Retrieval Applications	1993	International Journal of Man-Machine Studies	Shimon Schocken,Robert A. Hummel
153	A Bayesian Method for the Induction of Probabilistic Networks from Data	1992	Machine Learning	Gregory F. Cooper,Edward Herskovits
154	An ordinal approach to the processing of fuzzy queries with flexible quantifiers	1998	Applications of Uncertainty Formalisms	Patrick Bosc,Ludovic Lietard,Henri Prade
155	Alternative Representations of Discrete Fuzzy Measures for Decision Making	1997	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Michel Grabisch
156	An Open-Frame Theory of Incomplete Interval Probabilities	1998	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Andrea Sgarro
157	Arguing about beliefs and actions	1998	Applications of Uncertainty Formalisms	John Fox,Simon Parsons
158	Classifier selection for majority voting	2005	Information Fusion	Dymitr Ruta,Bogdan Gabrys
159	How to Improve Acts: An Alternative Representation of the Importance of Criteria in MCDM	2001	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Michel Grabisch,Christophe Labreuche
160	An Approach to Using XML and a Rule-Based Content Language with an Agent Communication Language	2000	Issues in Agent Communication	Benjamin N. Grosof,Yannis Labrou
161	A local handling of inconsistent knowledge and default bases	1998	Applications of Uncertainty Formalisms	Salem Benferhat,Laurent Garcia
162	Feature subset selection by genetic algorithms and estimation of distribution algorithms - A case study in the survival of cirrhotic patients treated with TIPS	2001	Artificial Intelligence in Medicine	Inaki Inza,Marisa Merino,Pedro Larranaga,Jorge Quiroga,Basilio Sierra,Marcos Girala
163	A Hybrid Approach for Modeling Uncertainty in Terminological Logics	1991	ECSQARU	Jochen Heinsohn
164	Bayesian Networks for Knowledge Discovery	1996	Advances in Knowledge Discovery and Data Mining	David Heckerman
165	Filter versus wrapper gene selection approaches in DNA microarray domains	2004	Artificial Intelligence in Medicine	Inaki Inza,Pedro Larranaga,Rosa Blanco,Antonio J. Cerrolaza
166	Application of the Evolutionary Algorithms for Classifier Selection in Multiple Classifier Systems with Majority Voting	2001	Multiple Classifier Systems	Dymitr Ruta,Bogdan Gabrys
167	An Alternative Approach to Computing with Words	2001	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Jonathan Lawry
168	Possibilistic Logic, Preferential Models, Non-monotonicity and Related Issues	1991	IJCAI	Didier Dubois,Henri Prade
169	Taxonomic and Uncertain Integrity Constraints in Object-Oriented Databases - the TOP Approach	1995	CIKM	Thomas Lukasiewicz,Werner Kiesling,Gerhard Kostler,Ulrich Guntzer
170	Betting boolean-style: a framework for trading in securities based on logical formulas	2005	Decision Support Systems	Lance Fortnow,Joe Kilian,David M. Pennock,Michael P. Wellman
171	Updating ACO Pheromones Using Stochastic Gradient Ascent and Cross-Entropy Methods	2002	EvoWorkshops	Marco Dorigo,Mark Zlochin,Nicolas Meuleau,Mauro Birattari
172	Prioritised fuzzy constraint satisfaction problems: axioms, instantiation and validation	2003	Fuzzy Sets and Systems	Xudong Luo,Jimmy Ho-Man Lee,Ho-fung Leung,Nicholas R. Jennings
173	The Application of Generalised Fuzzy Rules to Machine Learning and Automated Knowledge Discovery	1998	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	James F. Baldwin,Jonathan Lawry,Trevor P. Martin
174	Background to and perspectives on possibilistic graphical models	1998	Applications of Uncertainty Formalisms	Jorg Gebhardt,Rudolf Kruse
175	Autonomous Bidding Agents in the Trading Agent Competition	2001	IEEE Internet Computing	Amy R. Greenwald,Peter Stone
176	Conjectural Equilibrium in Multiagent Learning	1998	Machine Learning	Michael P. Wellman,Junling Hu
177	Addendum to 'Current Approaches to Handling Imperfect Information in Data and Knowledge Bases	1998	IEEE Trans. Knowl. Data Eng.	Simon Parsons
178	Bid determination in simultaneous actions an agent architecture	2001	ACM Conference on Electronic Commerce	Justin A. Boyan,Amy R. Greenwald
179	Representing Default Rules in Possibilistic Logic	1992	KR	Salem Benferhat,Didier Dubois,Henri Prade
180	Combinatorial auctions for supply chain formation	2000	ACM Conference on Electronic Commerce	William E. Walsh,Michael P. Wellman,Fredrik Ygge
181	An evaluation of machine-learning methods for predicting pneumonia mortality	1997	Artificial Intelligence in Medicine	Gregory F. Cooper,Constantin F. Aliferis,R. Ambrosino,John M. Aronis,Bruce G. Buchanan,Rich Caruana,Michael J. Fine,Clark Glymour,G. Gordon,B. H. Hanusa,Janine E. Janosky,Christopher Meek,Tom M. Mitchell,Thomas Richardson,Peter Spirtes
182	Automated Reasoning Using Possibilistic Logic: Semantics, Belief Revision, and Variable Certainty Weights	1994	IEEE Trans. Knowl. Data Eng.	Didier Dubois,Jerome Lang,Henri Prade
183	Clustering interval-valued proximity data using belief functions	2004	Pattern Recognition Letters	Marie-Helene Masson,Thierry Denoeux
184	A fuzzy constraint satisfaction problem in the wine industry	1998	Journal of Intelligent and Fuzzy Systems	Regis Sabbadin,Didier Dubois,Henri Prade,Pierre Grenier
185	Unsupervised Learning Of Bayesian Networks Via Estimation Of Distribution Algorithms: An Application To Gene Expression Data Clustering	2004	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Jose Manuel Pena,Jose Antonio Lozano,Pedro Larranaga
186	A collaborative intelligent tutoring system for medical problem-based learning	2004	IUI	Siriwan Suebnukarn,Peter Haddawy
187	An improved Bayesian structural EM algorithm for learning Bayesian networks for clustering	2000	Pattern Recognition Letters	Jose Manuel Pena,Jose Antonio Lozano,Pedro Larranaga
188	Bodies of Evidence Versus Simple Interval Probabilities	1997	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Andrea Sgarro
189	Optimal Structure Identification With Greedy Search	2002	Journal of Machine Learning Research	David Maxwell Chickering
190	Normalizing Possibility Distributions Using t-Norms	2003	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	Jordi Recasens,Jonathan Lawry
191	Probabilities for a probabilistic network: a case study in oesophageal cancer	2002	Artificial Intelligence in Medicine	Linda C. van der Gaag,Silja Renooij,C. L. M. Witteman,B. M. P. Aleman,B. G. Taal
192	A Theory of Inferred Causation	1991	KR	Judea Pearl,Thomas Verma
193	Learning Equivalence Classes of Bayesian-Network Structures	2002	Journal of Machine Learning Research	David Maxwell Chickering
